Batch ID,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10
4,,,,,,,,,,
37,,,,,,,,,,
63,,,,,,,,,,left-slightly
11,,,,,,,,,,
32,,,,,,,,,,left-definitely
37,,,,,,,,,,right-definitely
81,,,,,,,,,,right-slightly
81,left-slightly,left-slightly,right-slightly,left-slightly,right-slightly,left-slightly,left-slightly,left-slightly,left-slightly,left-slightly
51,3,2,1,4,3,2,1,4,3,2
49,1,2,3,3,3,4,4,4,4,4
44,2,4,4,2,4,2,3,2,4,1
5,2,4,3,3,4,1,1,2,1,4
49,4,4,4,4,4,4,4,4,4,4
